density[kg.m-2], linear warp[SI*1e9], linear weft[SI*1e9], linear diag[SI*1e9], nonlinear warp[SI*1e12], nonlinear weft[SI*1e12], nonlinear diag[SI*1e12]
0.1031, 1148.5, 938.8, 2139.4, -2629.2, -1625.2, -2447.0
0.2133, 43044.1, 33646.9, 32399.3, -59748.1, -140111.7, -87405.7
0.2427, 42348.7, 46806.4, 17815.5, -99762.2, -55205.7, -57900.5
0.1238, 47797.8, 12063.5, 20023.0, -167882.2, -39924.1, -51328.7
0.4318, 49520.8, 18133.7, 25305.6, -91721.1, -85673.3, -57748.9
0.0510, 7961.4, 1872.1, 7762.0, -10206.0, -4899.9, -9592.0
0.2678, 19693.9, 29945.4, 75085.9, -156641.1, -114651.2, -157489.0
0.0310, 1336.5, 904.0, 1119.0, -2577.6, -1197.9, -2047.9
0.2078, 13923.2, 18942.6, 14735.1, -57888.3, -55989.1, -33411.4
0.3685, 31723.3, 12353.5, 17883.7, -59470.9, -21791.7, -92971.0
0.0972, 2987.8, 10919.1, 3064.8, -3491.9, -15893.1, -3854.9
0.1228, 9917.0, 2614.9, 10217.1, -16808.3, -7965.2, -12518.4
0.1131, 9224.8, 6600.6, 15387.0, -23312.3, -22042.8, -29981.4
0.0604, 33479.0, 4057.1, 10634.9, -113052.8, -31447.7, -101178.0
0.1713, 34515.9, 35290.9, 28589.8, -64853.5, -105573.9, -112598.7
0.1309, 17596.2, 6636.0, 2652.0, -35390.9, -14753.9, -4969.0
0.4867, 75002.7, 32823.2, 27989.3, -349251.8, -225369.5, -133777.0
0.0603, 2585.7, 2628.7, 4446.9, -8325.0, -4219.3, -4420.8
0.0910, 5984.0, 4038.4, 2907.4, -11136.8, -16078.9, -17442.7
0.0224, 866.3, 1141.2, 1529.6, -1545.2, -922.2, -2837.1
0.1893, 53512.5, 53947.7, 68535.8, -246326.4, -128689.0, -87757.9
0.0752, 3095.6, 2780.6, 14530.9, -16976.2, -14509.9, -47644.4
0.0979, 918.9, 318.2, 1465.4, -1437.2, -578.4, -2095.0
0.1253, 6502.0, 2541.5, 9132.9, -13178.1, -3505.6, -14367.3
0.0295, 9266.3, 8941.5, 4945.4, -21196.1, -29340.6, -13667.3
0.1735, 7961.4, 7129.9, 11661.4, -18375.4, -27391.7, -33174.7
0.0490, 1078.5, 815.2, 884.8, -2316.3, -1867.0, -898.7
0.1287, 4056.0, 2183.7, 4598.7, -2822.1, -10823.1, -7458.5
0.1520, 58086.6, 21280.8, 25839.0, -172954.0, -16987.8, -163215.9
0.2968, 12003.8, 7307.1, 14914.2, -34908.7, -26371.9, -28115.9
